"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.04.2023","5,0549","5,0635","5,0994","5,0159","","-0,16%"
"26.03.2023","5,0631","5,2463","5,2495","5,0540","","-3,49%"
"19.03.2023","5,2463","5,2748","5,3416","5,2020","","-0,60%"
"12.03.2023","5,2778","5,2166","5,3283","5,2098","","1,17%"
"05.03.2023","5,2166","5,1980","5,2211","5,0998","","0,40%"
"26.02.2023","5,1956","5,2066","5,2515","5,1697","","-0,28%"
"19.02.2023","5,2100","5,1674","5,2139","5,1088","","0,82%"
"12.02.2023","5,1674","5,2151","5,2598","5,1275","","-0,91%"
"05.02.2023","5,2151","5,1522","5,3082","5,1320","","1,22%"
"29.01.2023","5,1522","5,1059","5,1587","4,9393","","0,85%"
"22.01.2023","5,1089","5,2074","5,2197","5,0550","","-1,89%"
"15.01.2023","5,2074","5,0945","5,2553","5,0651","","2,19%"
"08.01.2023","5,0956","5,2254","5,3085","5,0675","","-2,48%"
"01.01.2023","5,2254","5,2860","5,4797","5,2181","","-1,15%"
"25.12.2022","5,2860","5,1657","5,3042","5,1529","","2,34%"
"18.12.2022","5,1652","5,3140","5,3396","5,1150","","-2,80%"
"11.12.2022","5,3140","5,2400","5,3723","5,2306","","1,41%"
"04.12.2022","5,2400","5,2160","5,2912","5,1831","","0,40%"
"27.11.2022","5,2189","5,4070","5,4293","5,1612","","-3,53%"
"20.11.2022","5,4098","5,3827","5,4243","5,2786","","0,50%"
"13.11.2022","5,3827","5,3250","5,5297","5,2585","","1,08%"
"06.11.2022","5,3250","5,0557","5,4148","5,0453","","5,33%"
"30.10.2022","5,0557","5,2949","5,4079","5,0180","","-4,52%"
"23.10.2022","5,2949","5,1643","5,3918","5,1643","","2,60%"
"16.10.2022","5,1605","5,3284","5,3303","5,1400","","-3,09%"
"09.10.2022","5,3252","5,1996","5,3810","5,1620","","2,42%"
"02.10.2022","5,1996","5,4154","5,4154","5,1075","","-3,98%"
"25.09.2022","5,4154","5,2599","5,4295","5,2599","","2,96%"
"18.09.2022","5,2595","5,2539","5,3021","5,1049","","0,12%"
"11.09.2022","5,2531","5,1462","5,3098","5,0762","","2,08%"
"04.09.2022","5,1462","5,1654","5,2528","5,1373","","-0,42%"
"28.08.2022","5,1681","5,0599","5,2573","5,0073","","2,13%"
"21.08.2022","5,0601","5,1701","5,2039","5,0529","","-2,12%"
"14.08.2022","5,1697","5,0713","5,2191","5,0713","","1,90%"
"07.08.2022","5,0735","5,1633","5,1704","5,0333","","-1,76%"
"31.07.2022","5,1646","5,1743","5,3155","5,1260","","-0,17%"
"24.07.2022","5,1734","5,4980","5,5005","5,1440","","-5,88%"
"17.07.2022","5,4968","5,4084","5,5143","5,3509","","1,64%"
"10.07.2022","5,4082","5,2536","5,4899","5,2536","","2,94%"
"03.07.2022","5,2536","5,3290","5,4622","5,2495","","-1,45%"
"26.06.2022","5,3310","5,2418","5,3395","5,1745","","1,70%"
"19.06.2022","5,2417","5,1530","5,2756","5,1159","","1,75%"
"12.06.2022","5,1518","4,9888","5,1555","4,9888","","3,31%"
"05.06.2022","4,9865","4,7760","5,0118","4,7464","","4,46%"
"29.05.2022","4,7734","4,7295","4,8317","4,6896","","0,93%"
"22.05.2022","4,7295","4,8788","4,8788","4,7140","","-3,06%"
"15.05.2022","4,8788","5,0635","5,1038","4,8510","","-3,58%"
"08.05.2022","5,0602","5,0776","5,2095","5,0449","","-0,34%"
"01.05.2022","5,0774","4,9687","5,1144","4,8913","","2,12%"
"24.04.2022","4,9721","4,7963","5,0451","4,7963","","3,72%"
"17.04.2022","4,7937","4,6965","4,8390","4,6070","","2,07%"
"10.04.2022","4,6965","4,7054","4,7411","4,6210","","-0,01%"
"03.04.2022","4,6970","4,6588","4,7940","4,5790","","0,85%"
"27.03.2022","4,6575","4,7519","4,8190","4,6518","","-1,78%"
"20.03.2022","4,7420","5,0240","5,0287","4,7290","","-5,60%"
"13.03.2022","5,0231","5,0586","5,1692","4,9915","","-1,01%"
"06.03.2022","5,0745","5,0777","5,1147","4,9810","","0,25%"
"27.02.2022","5,0620","5,1631","5,2223","5,0179","","-1,94%"
"20.02.2022","5,1623","5,1367","5,1800","4,9933","","0,46%"
"13.02.2022","5,1385","5,2545","5,2661","5,1079","","-2,17%"
"06.02.2022","5,2527","5,3253","5,3276","5,1724","","-1,41%"
"30.01.2022","5,3279","5,3686","5,3972","5,2538","","-0,74%"
"23.01.2022","5,3674","5,4516","5,5242","5,3526","","-1,66%"
"16.01.2022","5,4582","5,5339","5,5824","5,3780","","-1,38%"
